CN101010100, 北京
CN101010200, 海淀
CN101010300, 朝阳
CN101010400, 顺义
CN101010500, 怀柔
CN101010600, 通州
CN101010700, 昌平
CN101010800, 延庆
CN101010900, 丰台
CN101011000, 石景山
CN101011100, 大兴
CN101011200, 房山
CN101011300, 密云
CN101011400, 门头沟
CN101011500, 平谷
CN101011600, 东城
CN101011700, 西城
CN101020100, 上海
CN101020200, 闵行
CN101020300, 宝山
CN101020400, 黄浦
CN101020500, 嘉定
CN101020600, 浦东新区
CN101020700, 金山
CN101020800, 青浦
CN101020900, 松江
CN101021000, 奉贤
CN101021100, 崇明
CN101021200, 徐汇
CN101021300, 长宁
CN101021400, 静安
CN101021500, 普陀
CN101021600, 虹口
CN101021700, 杨浦
CN101030100, 天津
CN101030200, 武清
CN101030300, 宝坻
CN101030400, 东丽
CN101030500, 西青
CN101030600, 北辰
CN101030700, 宁河
CN101030800, 和平
CN101030900, 静海
CN101031000, 津南
CN101031100, 滨海新区
CN101031200, 河东
CN101031300, 河西
CN101031400, 蓟州
CN101031500, 南开
CN101031600, 河北
CN101031700, 红桥
CN101040100, 重庆
CN101040200, 永川
CN101040300, 合川
CN101040400, 南川
CN101040500, 江津
CN101040700, 渝北
CN101040800, 北碚
CN101040900, 巴南
CN101041000, 长寿
CN101041100, 黔江
CN101041200, 渝中
CN101041300, 万州
CN101041400, 涪陵
CN101041500, 开县
CN101041600, 城口
CN101041700, 云阳
CN101041800, 巫溪
CN101041900, 奉节
CN101042000, 巫山
CN101042100, 潼南
CN101042200, 垫江
CN101042300, 梁平
CN101042400, 忠县
CN101042500, 石柱
CN101042600, 大足
CN101042700, 荣昌
CN101042800, 铜梁
CN101042900, 璧山
CN101043000, 丰都
CN101043100, 武隆
CN101043200, 彭水
CN101043300, 綦江
CN101043400, 酉阳
CN101043500, 大渡口
CN101043600, 秀山
CN101043700, 江北
CN101043800, 沙坪坝
CN101043900, 九龙坡
CN101044000, 南岸
CN101044100, 开州
CN101050101, 哈尔滨
CN101050102, 双城
CN101050103, 呼兰
CN101050104, 阿城
CN101050105, 宾县
CN101050106, 依兰
CN101050107, 巴彦
CN101050108, 通河
CN101050109, 方正
CN101050110, 延寿
CN101050111, 尚志
CN101050112, 五常
CN101050113, 木兰
CN101050114, 道里
CN101050115, 南岗
CN101050116, 道外
CN101050117, 平房
CN101050118, 松北
CN101050119, 香坊
CN101050201, 齐齐哈尔
CN101050202, 讷河
CN101050203, 龙江
CN101050204, 甘南
CN101050205, 富裕
CN101050206, 依安
CN101050207, 拜泉
CN101050208, 克山
CN101050209, 克东
CN101050210, 泰来
CN101050211, 龙沙
CN101050212, 建华
CN101050213, 铁锋
CN101050214, 昂昂溪
CN101050215, 富拉尔基
CN101050216, 碾子山
CN101050217, 梅里斯
CN101050301, 牡丹江
CN101050302, 海林
CN101050303, 穆棱
CN101050304, 林口
CN101050305, 绥芬河
CN101050306, 宁安
CN101050307, 东宁
CN101050308, 东安
CN101050309, 阳明
CN101050310, 爱民
CN101050311, 西安
CN101050401, 佳木斯
CN101050402, 汤原
CN101050403, 抚远
CN101050404, 桦川
CN101050405, 桦南
CN101050406, 同江
CN101050407, 富锦
CN101050408, 向阳
CN101050409, 前进
CN101050410, 东风
CN101050411, 郊区
CN101050501, 绥化
CN101050502, 肇东
CN101050503, 安达
CN101050504, 海伦
CN101050505, 明水
CN101050506, 望奎
CN101050507, 兰西
CN101050508, 青冈
CN101050509, 庆安
CN101050510, 绥棱
CN101050511, 北林
CN101050601, 黑河
CN101050602, 嫩江
CN101050603, 孙吴
CN101050604, 逊克
CN101050605, 五大连池
CN101050606, 北安
CN101050607, 爱辉
CN101050701, 大兴安岭
CN101050702, 塔河
CN101050703, 漠河
CN101050704, 呼玛
CN101050705, 呼中
